Player Name,Nationality,Club,Player Link,Total Shots Made,"('Total Goal Made',)"
Wayne Rooney,England,Retired/Unknown,www.premierleague.com/players/2064/player/overview,"1,237",208
Harry Kane,England,Retired/Unknown,www.premierleague.com/players/3960/player/overview,"1,179",213
Sergio Agüero,Argentina,Retired/Unknown,www.premierleague.com/players/4328/player/overview,"1,015",184
Mohamed Salah,Egypt,Liverpool,www.premierleague.com/players/5178/player/overview,940,157
Jermain Defoe,England,Retired/Unknown,www.premierleague.com/players/1526/player/overview,871,162
Robin van Persie,Netherlands,Retired/Unknown,www.premierleague.com/players/2616/player/overview,862,144
Frank Lampard,England,Retired/Unknown,www.premierleague.com/players/800/player/overview,832,177
Raheem Sterling,England,Chelsea,www.premierleague.com/players/4316/player/overview,764,123
Steven Gerrard,England,Retired/Unknown,www.premierleague.com/players/1575/player/overview,743,120
Romelu Lukaku,Belgium,Roma,www.premierleague.com/players/4290/player/overview,724,121
Cristiano Ronaldo,Portugal,Retired/Unknown,www.premierleague.com/players/2522/player/overview,675,103
Theo Walcott,England,Retired/Unknown,www.premierleague.com/players/2839/player/overview,671,80
Son Heung-Min,South Korea,Tottenham Hotspur,www.premierleague.com/players/4999/player/overview,668,120
Didier Drogba,Cote D’Ivoire,Retired/Unknown,www.premierleague.com/players/2662/player/overview,663,104
Christian Benteke,Belgium,Retired/Unknown,www.premierleague.com/players/4492/player/overview,654,86
Gylfi Sigurdsson,Iceland,Retired/Unknown,www.premierleague.com/players/4421/player/overview,652,67
Peter Crouch,England,Retired/Unknown,www.premierleague.com/players/1629/player/overview,643,108
Kevin De Bruyne,Belgium,Manchester City,www.premierleague.com/players/4288/player/overview,630,68
Sadio Mané,Senegal,Retired/Unknown,www.premierleague.com/players/6519/player/overview,629,111
Clint Dempsey,United States,Retired/Unknown,www.premierleague.com/players/3121/player/overview,627,57
Carlos Tevez,Argentina,Retired/Unknown,www.premierleague.com/players/3281/player/overview,619,84
Jamie Vardy,England,Leicester City,www.premierleague.com/players/8979/player/overview,619,136
Riyad Mahrez,Algeria,Retired/Unknown,www.premierleague.com/players/8983/player/overview,588,82
Fernando Torres,Spain,Retired/Unknown,www.premierleague.com/players/3420/player/overview,581,85
Dimitar Berbatov,Bulgaria,Retired/Unknown,www.premierleague.com/players/3247/player/overview,577,94
Olivier Giroud,France,Retired/Unknown,www.premierleague.com/players/4481/player/overview,577,90
Roberto Firmino,Brazil,Retired/Unknown,www.premierleague.com/players/13511/player/overview,573,82
Marcus Rashford,England,Manchester United,www.premierleague.com/players/13565/player/overview,571,83
Danny Welbeck,England,Brighton & Hove Albion,www.premierleague.com/players/3452/player/overview,565,67
David Silva,Spain,Retired/Unknown,www.premierleague.com/players/4145/player/overview,552,60
Luis Suárez,Uruguay,Retired/Unknown,www.premierleague.com/players/4138/player/overview,551,69
Emmanuel Adebayor,Togo,Retired/Unknown,www.premierleague.com/players/2845/player/overview,549,97
Daniel Sturridge,England,Retired/Unknown,www.premierleague.com/players/3154/player/overview,540,76
Wilfried Zaha,Cote D’Ivoire,Retired/Unknown,www.premierleague.com/players/4539/player/overview,525,68
Michail Antonio,Jamaica,Retired/Unknown,www.premierleague.com/players/9595/player/overview,513,67
Gabriel Agbonlahor,England,Retired/Unknown,www.premierleague.com/players/2622/player/overview,510,74
Richarlison,Brazil,Tottenham Hotspur,www.premierleague.com/players/24630/player/overview,510,60
Eden Hazard,Belgium,Retired/Unknown,www.premierleague.com/players/4503/player/overview,491,85
Nicolas Anelka,France,Retired/Unknown,www.premierleague.com/players/1135/player/overview,488,125
Darren Bent,England,Retired/Unknown,www.premierleague.com/players/2098/player/overview,478,106
Gabriel Jesus,Brazil,Arsenal,www.premierleague.com/players/19680/player/overview,475,73
Alexis Sánchez,Chile,Retired/Unknown,www.premierleague.com/players/4973/player/overview,462,63
Yaya Touré,Cote D’Ivoire,Retired/Unknown,www.premierleague.com/players/4148/player/overview,450,62
Danny Ings,England,West Ham United,www.premierleague.com/players/8245/player/overview,423,71
Callum Wilson,England,Newcastle United,www.premierleague.com/players/8454/player/overview,413,88
Louis Saha,France,Retired/Unknown,www.premierleague.com/players/1598/player/overview,376,85
Ollie Watkins,England,Aston Villa,www.premierleague.com/players/8658/player/overview,367,59
Kevin Nolan,England,Retired/Unknown,www.premierleague.com/players/2040/player/overview,365,69
Chris Wood,New Zealand,Nottingham Forest,www.premierleague.com/players/3756/player/overview,350,69
Anthony Martial,France,Retired/Unknown,www.premierleague.com/players/11272/player/overview,348,63
Diogo Jota,Portugal,Liverpool,www.premierleague.com/players/19758/player/overview,339,57
