Word,Page 1,Page 2,Page 3,Page 4,Page 5,Page 6,Page 7,Page 8,Page 9,Page 10,Page 11,Page 12,Page 13,Page 14,Page 15,Page 16,Page 17,Page 18,Page 19,Page 20,Page 21,Page 22,Page 23,Page 24,Page 25,Page 26,Total Count
premier,13,0,0,0,11,0,31,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
league,16,0,0,0,11,0,31,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
fixtures,11,0,0,0,5,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
live,5,0,0,0,4,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
matches,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
on,23,0,0,0,22,0,42,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
tv,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
season,6,0,0,0,5,0,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
close,6,0,0,0,2,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
skip,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
main,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
navigation,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
content,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
club,5,0,0,0,5,0,4,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
sites,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
arsenal,5,0,0,0,5,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
aston,5,0,0,0,7,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
villa,6,0,0,0,9,0,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
afc,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
