Word,Page 1,Page 5,Page 7,Page 8,Page 9,Page URL,Total Count
emirates,1,,,,,https://www.premierleague.com/fixtures,
emirates,,2,,,,https://www.premierleague.com/stats,
emirates,,,0,,,https://www.premierleague.com/video,
emirates,,,,1,,https://www.premierleague.com/tickets,
emirates,,,,,3,https://www.premierleague.com/clubs,
goodison,1,,,,,https://www.premierleague.com/fixtures,
goodison,,2,,,,https://www.premierleague.com/stats,
goodison,,,0,,,https://www.premierleague.com/video,
goodison,,,,1,,https://www.premierleague.com/tickets,
goodison,,,,,3,https://www.premierleague.com/clubs,
anfield,1,,,,,https://www.premierleague.com/fixtures,
anfield,,2,,,,https://www.premierleague.com/stats,
anfield,,,1,,,https://www.premierleague.com/video,
anfield,,,,1,,https://www.premierleague.com/tickets,
anfield,,,,,3,https://www.premierleague.com/clubs,
